codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A702,01/10/2019,0,25.6,30.2,25.6,49,49,32,14.0,14.0,11.8,947.7,947.7,947.4,1.6,////,2.1,-3.54,0.0
A702,01/10/2019,1,26.6,27.3,25.2,43,50,40,12.9,14.0,12.5,948.4,948.4,947.7,3.3,////,4.8,-3.54,0.0
A702,01/10/2019,2,28.3,29.1,26.6,33,43,32,10.6,12.9,10.6,948.6,948.6,948.4,3.4,////,5.3,-3.54,0.0
A702,01/10/2019,3,28.4,28.6,27.8,32,34,32,10.0,10.7,10.0,948.5,948.7,948.5,3.9,////,7.0,-3.54,0.0
A702,01/10/2019,4,28.4,28.9,28.4,31,32,30,9.9,10.2,9.8,948.3,948.6,948.3,4.2,////,7.7,-3.54,0.0
A702,01/10/2019,5,28.1,28.8,28.1,32,32,30,9.8,9.9,9.6,948.1,948.3,948.0,5.2,////,9.7,-3.54,0.0
A702,01/10/2019,6,27.6,28.1,27.5,32,33,32,9.5,9.8,9.5,947.7,948.2,947.7,5.2,////,9.5,-3.54,0.0
A702,01/10/2019,7,27.6,28.0,27.1,32,34,32,9.5,9.8,9.5,947.5,947.7,947.4,5.1,////,9.7,-3.54,0.0
A702,01/10/2019,8,27.2,27.8,27.0,35,35,32,10.6,10.6,9.5,947.8,947.8,947.3,3.5,////,9.7,-3.54,0.0
A702,01/10/2019,9,26.4,27.3,26.3,41,42,35,12.2,12.4,10.6,948.3,948.4,947.8,4.7,////,8.8,-3.54,0.0
A702,01/10/2019,10,25.8,26.5,25.5,49,49,41,14.4,14.4,12.3,949.2,949.2,948.3,2.9,////,7.7,58.22,0.0
A702,01/10/2019,11,28.4,28.4,25.8,48,50,48,16.3,16.3,14.4,949.9,949.9,949.2,3.5,////,6.5,611.7,0.0
A702,01/10/2019,12,30.7,30.8,28.4,44,48,43,17.0,17.1,16.3,950.3,950.4,949.9,4.4,////,8.9,1456.,0.0
A702,01/10/2019,13,31.7,32.2,30.5,41,44,39,16.6,17.0,16.5,950.9,950.9,950.3,5.3,////,11.3,1963.,0.0
A702,01/10/2019,14,32.6,33.6,31.7,38,40,36,16.5,16.8,16.0,950.6,950.9,950.6,5.3,////,11.8,2848.,0.0
A702,01/10/2019,15,35.1,35.1,32.5,33,39,33,16.5,17.0,15.9,949.9,950.7,949.9,4.6,////,12.2,3011.,0.0
A702,01/10/2019,16,34.2,36.0,33.0,34,37,30,16.0,17.0,15.0,949.3,949.9,949.2,5.6,////,14.4,3002.,0.0
A702,01/10/2019,17,35.8,35.8,33.4,28,35,28,14.6,16.0,14.1,948.3,949.3,948.3,5.4,////,12.0,2170.,0.0
A702,01/10/2019,18,35.2,36.1,34.4,29,32,27,14.3,15.4,13.7,947.3,948.3,947.3,5.0,////,11.8,2040.,0.0
A702,01/10/2019,19,35.5,36.3,34.7,28,30,27,14.0,14.8,13.9,947.0,947.4,947.0,4.4,////,11.9,1422.,0.0
A702,01/10/2019,20,35.4,36.5,35.2,28,29,27,14.2,14.5,13.8,946.5,947.0,946.4,4.3,////,11.5,1472.,0.0
A702,01/10/2019,21,34.6,35.7,34.6,29,29,27,13.7,14.4,13.4,946.4,946.5,946.4,2.7,////,8.2,629.6,0.0
A702,01/10/2019,22,32.0,34.5,32.0,35,35,29,14.6,14.6,13.9,946.7,946.7,946.4,3.1,////,6.7,85.51,0.0
A702,01/10/2019,23,28.8,32.1,28.8,43,43,34,14.9,15.1,14.4,947.1,947.1,946.6,1.7,////,5.8,-3.54,0.0
A702,02/10/2019,0,27.8,29.9,27.8,45,45,39,14.7,14.9,14.3,948.2,948.2,947.1,2.2,////,3.2,-3.54,0.0
A702,02/10/2019,1,27.5,28.4,27.3,48,48,43,15.4,15.4,14.7,949.1,949.1,948.2,2.3,////,3.4,-3.54,0.0
A702,02/10/2019,2,27.5,27.8,27.2,48,49,47,15.5,15.6,15.4,949.7,949.7,949.1,1.9,////,3.4,-3.54,0.0
A702,02/10/2019,3,28.4,28.4,27.5,45,48,45,15.4,15.5,15.3,949.8,949.8,949.6,1.9,////,3.1,-3.54,0.0
A702,02/10/2019,4,27.4,28.4,27.2,49,49,45,15.7,15.7,15.4,949.3,949.8,949.3,1.9,////,3.0,-3.54,0.0
A702,02/10/2019,5,27.4,28.0,27.0,50,50,47,16.0,16.0,15.6,948.9,949.3,948.9,1.9,////,3.1,-3.54,0.0
A702,02/10/2019,6,26.0,27.4,25.8,54,55,50,16.0,16.3,15.8,948.7,949.0,948.7,2.1,////,3.1,-3.54,0.0
