dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20200315,000900,0,22.23,183.41,0.74,0.5,0.45,25.66,13.15,120,0,0,39.69,0.842655130064858
20200315,001900,0,15.22,125.59,0.51,0.35,0.45,25.54,11.17,126,0,0,39.69,0.842935371474082
20200315,002900,0,4.48,36.98,0.15,0.1,0.45,25.43,10.51,139.5,0,0,40.42,0.843026132241617
20200315,003900,0,4.13,34.07,0.14,0.1,0.46,25.11,9.04,126,0,0,41.16,0.843099335183995
20200315,004900,0,4.1,33.86,0.14,0.09,0.44,24.96,8.38,126,0,0,40.54,0.843166861029686
20200315,005900,0,5.12,42.25,0.17,0.12,0.44,25.05,12.24,126,0,0,40.35,0.843282189022456
20200315,010900,0,17.27,142.52,0.57,0.39,0.45,24.89,9.44,112.5,0,0,40.55,0.843583970592249
20200315,011900,0,22.37,184.59,0.74,0.51,0.45,24.78,11.97,112.5,0,0,41.42,0.843993156924053
20200315,012900,0,7.97,65.72,0.27,0.18,0.46,24.67,9.71,126,0,0,41.43,0.844137426599433
20200315,013900,0,3.98,32.88,0.13,0.09,0.45,24.62,6.72,135,0,0,41.12,0.844189779250636
20200315,014900,0,4.11,33.93,0.14,0.1,0.45,24.71,9.31,130.5,0,0,41.24,0.844264764319592
20200315,015900,0,3.33,27.44,0.11,0.07,0.46,24.79,11.04,117,0,0,41.56,0.844339893529883
20200315,020900,0,3.11,25.63,0.1,0.07,0.45,24.58,9.58,126,0,0,42.13,0.844399691352741
20200315,021900,0,3.1,25.58,0.1,0.07,0.45,24.61,10.64,103.5,0,0,41.58,0.844467783399423
20200315,022900,0,3.21,26.44,0.11,0.07,0.45,24.79,9.84,117,0,0,41.26,0.844531467113481
20200315,023900,0,3.43,28.27,0.12,0.08,0.46,24.53,12.37,132.5,0,0,41.67,0.844618854482112
20200315,024900,0,3.32,27.41,0.11,0.07,0.44,24.58,10.77,99,0,0,42.08,0.84469184748846
20200315,025900,0,3.41,28.12,0.11,0.08,0.46,24.66,13.3,108,0,0,41.98,0.844786270330472
20200315,030900,0,3.39,27.97,0.11,0.08,0.46,24.32,7.85,117,0,0,41.74,0.844837314927029
20200315,031900,0,3.23,26.68,0.11,0.07,0.43,24.15,8.11,103.5,0,0,41.86,0.844887813967661
20200315,032900,0,3.3,27.25,0.11,0.07,0.45,23.97,4.79,130.5,0,0,42.64,0.844913229928365
20200315,033900,0,3.16,26.11,0.11,0.07,0.46,23.9,2.73,105.75,0,0,44.23,0.844920040188776
20200315,034900,0,3.26,26.86,0.11,0.07,0.46,23.63,2.39,130,0,0,44.44,0.844925753418858
20200315,035900,0,3.34,27.57,0.11,0.08,0.46,23.62,0.4,235.5,0,0,43.56,0.844917228420017
20200315,040900,0,3.28,27.09,0.11,0.08,0.48,23.14,0,180,0,0,43.6,0.84490447697139
20200315,041900,0,3.76,30.98,0.12,0.09,0.46,22.38,0,175.5,0,0,44.37,0.84489983801357
20200315,042900,0,4.17,34.37,0.14,0.1,0.46,21.86,0,180,0,0,43.98,0.844902285729144
20200315,043900,0,4.39,36.23,0.15,0.1,0.46,21.75,0,180,0,0,44.04,0.84490862914545
20200315,044900,0,4.37,36.08,0.15,0.1,0.47,21.64,0,180,0,0,44.75,0.84491462301657
20200315,045900,0,4.65,38.34,0.16,0.11,0.46,21.44,0,175.5,0,0,45.73,0.844925336097685
20200315,050900,0,4.68,38.57,0.16,0.11,0.45,21.33,0,180,0,0,46.39,0.844936551026929
20200315,051900,0,5.47,45.15,0.18,0.12,0.45,21.11,0,180,0,0,56.06,0.844961423183849
20200315,052900,0,6.95,57.3,0.23,0.16,0.47,20.94,0,175.5,0,0,284.04,0.845011522445207
20200315,053900,2,6.15,50.75,0.2,0.14,0.46,21.22,0,175.5,0,0,536,0.845048030118372
20200315,054900,8.5,5.89,48.59,0.2,0.13,0.48,21.42,0,171,56.44,0.12,491.98,0.845080048042751
20200315,055900,16.7,6.26,51.64,0.21,0.14,0.46,21.77,0,162,127.71,0.25,515.88,0.845118404649632
20200315,060900,24.8,5.3,43.71,0.18,0.12,0.47,23.22,0,162,195.51,0.36,542.6,0.845140339148453
20200315,061900,38.2,4.61,38,0.15,0.1,0.46,25.24,0,67.5,302.74,0.54,555.74,0.845150456588345
20200315,062900,46.2,4.02,33.2,0.14,0.09,0.47,24.99,1.73,76.5,367.68,0.67,549.21,0.845164116320913
20200315,063900,63.5,3.02,24.89,0.1,0.07,0.46,26.09,1.06,171,511.72,0.94,547.11,0.845155355499316
20200315,064900,92,2.04,16.82,0.07,0.05,0.46,27.74,6.65,40.5,752.93,1.4,539.26,0.845173987584507
20200315,065900,103,1.72,14.19,0.06,0.04,0.44,27.24,8.11,81,874.29,1.58,550.12,0.845198535673679
20200315,070900,194.3,1.68,13.87,0.06,0.04,0.45,29.15,9.18,180,1707.33,3.01,567.12,0.845230977405358
20200315,071900,250.9,1.42,11.68,0.05,0.03,0.46,29.56,13.83,31.5,2218.94,3.97,557.27,0.845295474239687
20200315,072900,310.9,1.38,11.38,0.04,0.03,0.43,29.93,17.49,114.5,2799.26,5,560.01,0.845388192537877
20200315,073900,416.6,1.62,13.36,0.05,0.04,0.43,29.9,18.35,83,3745.78,6.73,557,0.845491817385478
20200315,074900,489.6,1.48,12.19,0.05,0.03,0.45,31.05,17.16,78.5,4361.74,7.92,550.46,0.845583675771273
20200315,075900,493.6,1.45,11.97,0.05,0.03,0.45,31.32,12.64,119,4328.28,7.98,541.99,0.845639329582222
20200315,080900,549.7,1.05,8.65,0.03,0.02,0.47,31.29,14.63,74,4811.15,8.91,539.72,0.845703745542967
20200315,081900,574.6,0.96,7.94,0.03,0.02,0.46,31.86,14.1,18,4983.28,9.32,534.55,0.845762577176038
20200315,082900,616.4,0.87,7.18,0.03,0.02,0.45,32.22,13.03,45,5338.45,10.03,532.06,0.84581140577646
20200315,083900,634.7,0.86,7.14,0.03,0.02,0.46,31.78,9.97,184.5,5448.77,10.34,527.11,0.84583596599201
20200315,084900,696.6,1.04,8.56,0.03,0.02,0.43,31.61,6.52,168.5,5923.61,11.3,524.04,0.845836246156624
20200315,085900,719.1,1.04,8.56,0.03,0.02,0.44,31.7,6.65,193.5,5891.65,11.53,510.07,0.845837595976747
20200315,090900,751.7,1.13,9.35,0.04,0.03,0.47,32.59,9.31,101,6291.06,12.21,515.12,0.845861620025069
20200315,091900,780.9,1.01,8.29,0.03,0.02,0.48,33.2,15.03,54,6484.26,12.67,511.62,0.845928505954994
