"","DIA","TIME","IRR","TEMP","MA","PDC","PRECIP"
"1",13,1,7.14,21.33,0.13872,51.99,0
"2",13,2,13.6,21.68,0.13882,106.41,0
"3",13,3,22,22.73,0.13892,178.69,0
"4",13,4,34,23.68,0.13899,282.74,0
"5",13,5,54,24.94,0.13906,458.42,0
"6",13,6,81.9,25.43,0.13918,719.55,0
"7",13,7,116.6,25.99,0.13927,1040.22,0
"8",13,8,156,25.96,0.13943,1402.91,0
"9",13,9,199.3,26.46,0.13955,1821.97,0
"10",13,10,243.8,27.14,0.13966,2271.18,0
"11",13,11,290.2,27.99,0.13976,2744.06,0
"12",13,12,334.8,28.33,0.13988,3160.48,0
"13",13,13,386.1,28.32,0.14004,3621.12,0
"14",13,14,434.9,28.6,0.14019,4070.41,0
"15",13,15,480.7,29.01,0.14033,4459.26,0
"16",13,16,571.4,29.18,0.14051,5269.71,0
"17",13,17,463.8,28.55,0.1407,4327.09,0
"18",13,18,498.2,28.89,0.14083,4583.47,0
"19",13,19,680.7,29.42,0.14105,6222,0
"20",13,20,696.9,30.04,0.1412,6339.1,0
"21",13,21,724.2,30.46,0.14135,6489.06,0
"22",13,22,754.1,30.98,0.14148,6690.73,0
"23",13,23,787.4,30.9,0.14161,6979.18,0
"24",13,24,818.6,31.04,0.14176,7193.81,0
"25",13,25,849.8,31.01,0.14189,7441.39,0
"26",13,26,880,31.75,0.14203,7651.7,0
"27",13,27,904.9,32.08,0.14217,7807.99,0
"28",13,28,934.7,32.58,0.14227,7971.5,0
"29",13,29,957.7,32.48,0.14236,8065.65,0
"30",13,30,978.7,32.52,0.14246,8184.79,0
"31",13,31,996.8,32.56,0.1425,8295.09,0
"32",13,32,1019.6,33.73,0.14254,8351.17,0
"33",13,33,1031.6,34.64,0.14256,8389.34,0
"34",13,34,1016.2,33.78,0.14259,8262.21,0
"35",13,35,968.2,34.61,0.14261,7879.66,0
"36",13,36,1071.9,33.93,0.14268,7745.39,0
"37",13,37,962.2,33.69,0.14271,6955.2,0
"38",13,38,1143.3,33.81,0.14279,8439.21,0
"39",13,39,1129.3,33.41,0.14285,8429.86,0
"40",13,40,1153.6,33.87,0.14287,8422.57,0
"41",13,41,1044.3,35.14,0.14289,7473.87,0
"42",13,42,250,33.17,0.1429,2110.51,0
"43",13,43,275.2,32.75,0.14291,2505.43,0
"44",13,44,551.3,34.69,0.14292,4574.68,0
"45",13,45,1036.6,34.76,0.14295,7130.93,0
"46",13,46,283,34.33,0.14298,2395.5,0
"47",13,47,266.2,33.85,0.14299,2189.78,0
"48",13,48,251.9,33.44,0.14299,2374.73,0
"49",13,49,779.8,35.24,0.14301,5948.09,0
"50",13,50,966.2,35.64,0.14304,7338.23,0
"51",13,51,897.1,35.76,0.14308,7062.24,0
"52",13,52,969.5,35.42,0.14314,7963.76,0
"53",13,53,944.7,36.31,0.14318,7670.59,0
"54",13,54,559.5,35.58,0.14322,4108.44,0
"55",13,55,143.3,34.53,0.14322,1223.5,0
"56",13,56,180.5,34.14,0.14323,1575.53,0
"57",13,57,416.6,34.74,0.14323,3719.24,0
"58",13,58,762.5,37.04,0.14325,6513.31,0
"59",13,59,543.2,36.21,0.14333,4543.57,0
"60",13,60,335.7,34.32,0.14339,2887.72,0
"61",13,61,242.3,34.39,0.1434,2062.88,0
"62",13,62,532.6,35.66,0.14342,4618.82,0
"63",13,63,513.7,35.69,0.14348,4279.46,0
"64",13,64,458.9,36.26,0.14348,3783.09,0
"65",13,65,402.2,35.65,0.14353,3279.66,0
"66",13,66,361.8,35.71,0.14355,2930.44,0
"67",13,67,315.3,35.7,0.14359,2512.69,0
"68",13,68,270.4,35.16,0.14363,2115.25,0
"69",13,69,222.5,35.32,0.14365,1669.53,0
"70",13,70,129,34.53,0.14367,1282.99,0
"71",13,71,66.3,33.28,0.14371,876.46,0
"72",13,72,83.2,32.67,0.14377,527.83,0
"73",13,73,59.9,32.3,0.14378,313.91,0
"74",13,74,33.3,31.61,0.14379,213.37,0
"75",13,75,19,31.15,0.14381,144.18,0
"76",13,76,9.5,29.97,0.14379,77.34,0
"77",13,77,1.3,29.28,0.14377,20.98,0
"78",14,1,0.3,24.26,0.14966,0,0
"79",14,2,5.7,24.34,0.14975,38.27,0
"80",14,3,14.8,24.64,0.14985,118,0
"81",14,4,24.8,25.56,0.14996,198.83,0
"82",14,5,37.3,26.25,0.15004,310.03,0
"83",14,6,56.9,26.82,0.15013,481.14,0
"84",14,7,83.4,27.22,0.15025,728.16,0
"85",14,8,117.9,27.51,0.15036,1041.78,0
"86",14,9,149,27.67,0.15048,1327.91,0
"87",14,10,192.1,28.17,0.15063,1736.86,0
"88",14,11,243,28.88,0.15081,2248.21,0
"89",14,12,282.3,29.39,0.15095,2638.63,0
"90",14,13,325.3,29.52,0.15111,3034.01,0
"91",14,14,368.2,29.95,0.15125,3434.69,0
