"","dia_mes_ano","hora_minuto","irr_inv","massaPM1","numPM1","massaPM2","numPM2","tamanho_medio","temp","vento_vel","vento_dir","P_DC","I_DC","V_DC","m","dia","TIME"
"1",20191004,"052900",7.44,7.61,62.78,0.25,0.17,0.47,21.48,0.27,90,63.15,0.13,478.41,4e-05,1,1
"2",20191004,"053900",16.4,7.67,63.27,0.26,0.17,0.48,22.28,0,90,140.31,0.27,510.86,4e-05,1,2
"3",20191004,"054900",33.3,7.3,60.25,0.24,0.17,0.49,25.05,0,153,273.65,0.5,544.82,4e-05,1,3
"4",20191004,"055900",54.1,6.09,50.28,0.2,0.14,0.47,28.41,0,180,435.1,0.77,564.6,4e-05,1,4
"5",20191004,"060900",78.6,8.51,70.23,0.29,0.19,0.47,30.45,0,180,620.06,1.08,572.37,4e-05,1,5
"6",20191004,"061900",111.9,9.76,80.5,0.32,0.22,0.49,30.84,0,180,905.04,1.71,532.31,5e-05,1,6
"7",20191004,"062900",150,22.59,186.39,0.75,0.51,0.48,29.56,1.6,180,1276.98,2.38,536.96,5e-05,1,7
"8",20191004,"063900",189.5,8.39,69.2,0.28,0.19,0.48,28.97,3.19,166.5,1675.41,3.03,553.42,6e-05,1,8
"9",20191004,"064900",230.4,13.09,107.99,0.44,0.3,0.49,29.91,3.19,144,2080.53,3.7,562.74,6e-05,1,9
"10",20191004,"065900",274.6,10.94,90.27,0.36,0.25,0.5,29.46,5.59,108,2508.61,4.4,569.73,7e-05,1,10
"11",20191004,"070900",322.3,5.89,48.61,0.2,0.13,0.45,29.58,11.97,103.5,2943.94,5.17,569.73,1e-04,1,11
"12",20191004,"071900",365,5.21,42.94,0.17,0.12,0.44,29.9,14.63,94.5,3315.98,5.85,567,0.00016,1,12
"13",20191004,"072900",409.9,5.38,44.4,0.18,0.12,0.44,30.43,12.9,90,3710.16,6.59,563.38,0.00025,1,13
"14",20191004,"073900",455.9,5.67,46.79,0.19,0.13,0.46,31.03,14.63,94.5,4106.67,7.37,557.3,0.00041,1,14
"15",20191004,"074900",502.2,5.64,46.51,0.19,0.13,0.44,32.57,8.11,108,4483.54,8.13,551.46,0.00052,1,15
"16",20191004,"075900",547.6,5.67,46.77,0.19,0.13,0.45,32.16,15.56,81,4866.79,8.86,549.07,0.00077,1,16
"17",20191004,"080900",587.8,6.03,49.78,0.2,0.14,0.46,32.46,12.5,63,5181.58,9.53,544.02,0.00099,1,17
"18",20191004,"081900",622.3,6.08,50.15,0.2,0.14,0.46,32.27,14.76,40.5,5483.93,10.14,540.67,0.00127,1,18
"19",20191004,"082900",661.6,6.04,49.86,0.2,0.14,0.44,31.96,20.62,40.5,5818.18,10.84,536.75,0.00167,1,19
"20",20191004,"083900",698.6,5.54,45.72,0.18,0.12,0.44,33.11,12.77,90,6132.67,11.44,536.12,0.00189,1,20
"21",20191004,"084900",732.8,5.93,48.92,0.2,0.13,0.44,32.96,14.23,63,6375.96,12.01,530.83,0.00214,1,21
"22",20191004,"085900",753.2,5.7,47.01,0.19,0.13,0.45,33.98,12.5,103.5,6570.25,12.45,527.72,0.00234,1,22
"23",20191004,"090900",856.6,5.6,46.2,0.18,0.13,0.44,34.55,13.7,85.5,7269.86,13.9,523.13,0.00257,1,23
"24",20191004,"091900",665.1,5.59,46.13,0.19,0.13,0.45,34.29,11.7,72,5800.95,11.25,515.63,0.00275,1,24
"25",20191004,"092900",682.9,6.06,49.97,0.2,0.14,0.43,33.65,12.77,90,5526.44,10.04,543.76,0.00294,1,25
"26",20191004,"093900",636.5,7.34,60.54,0.24,0.17,0.44,34.57,9.18,90,5408.26,10.19,528.38,0.00309,1,26
"27",20191004,"094900",881.8,6.86,56.59,0.23,0.16,0.44,35.26,9.18,103.5,7390.84,14.02,526.37,0.00322,1,27
"28",20191004,"095900",892.8,5.69,46.89,0.19,0.13,0.44,35.43,9.71,49.5,7559.49,14.8,510.9,0.00336,1,28
"29",20191004,"100900",949,5.16,42.53,0.17,0.12,0.43,35.57,12.9,90,7866.07,15.69,501.41,0.00355,1,29
"30",20191004,"101900",957.9,5.35,44.14,0.18,0.12,0.44,36.12,7.58,108,7876.16,15.82,497.82,0.00364,1,30
"31",20191004,"102900",974.2,4.88,40.27,0.16,0.11,0.42,36.96,5.85,171,7989.98,16.1,496.12,0.0037,1,31
"32",20191004,"103900",988.1,5.36,44.19,0.18,0.12,0.43,35.86,11.3,58.5,8076.88,16.31,495.3,0.00386,1,32
"33",20191004,"104900",997.1,5,41.21,0.16,0.11,0.42,35.85,12.5,45,8131.74,16.48,493.56,0.00403,1,33
"34",20191004,"105900",993.7,5.19,42.86,0.17,0.12,0.43,36.02,10.11,121.5,8137.58,16.44,495.14,0.00416,1,34
"35",20191004,"110900",1023.3,5.49,45.31,0.18,0.12,0.44,36.83,11.7,54,8342.47,16.86,494.89,0.00432,1,35
"36",20191004,"111900",1035,5.44,44.87,0.18,0.12,0.42,37.39,8.64,81,8371.12,16.87,496.25,0.00442,1,36
"37",20191004,"112900",1073.4,5.02,41.38,0.17,0.11,0.44,37.7,12.9,175.5,8420.2,16.37,514.36,0.00459,1,37
