"","dia_mes_ano","dia","TIME","irr_inv","temp","m","P_DC"
"895",20191024,1,1,7.14,21.33,0.13872,51.99
"896",20191024,1,2,13.6,21.68,0.13882,106.41
"897",20191024,1,3,22,22.73,0.13892,178.69
"898",20191024,1,4,34,23.68,0.13899,282.74
"899",20191024,1,5,54,24.94,0.13906,458.42
"900",20191024,1,6,81.9,25.43,0.13918,719.55
"901",20191024,1,7,116.6,25.99,0.13927,1040.22
"902",20191024,1,8,156,25.96,0.13943,1402.91
"903",20191024,1,9,199.3,26.46,0.13955,1821.97
"904",20191024,1,10,243.8,27.14,0.13966,2271.18
"905",20191024,1,11,290.2,27.99,0.13976,2744.06
"906",20191024,1,12,334.8,28.33,0.13988,3160.48
"907",20191024,1,13,386.1,28.32,0.14004,3621.12
"908",20191024,1,14,434.9,28.6,0.14019,4070.41
"909",20191024,1,15,480.7,29.01,0.14033,4459.26
"910",20191024,1,16,571.4,29.18,0.14051,5269.71
"911",20191024,1,17,463.8,28.55,0.1407,4327.09
"912",20191024,1,18,498.2,28.89,0.14083,4583.47
"913",20191024,1,19,680.7,29.42,0.14105,6222
"914",20191024,1,20,696.9,30.04,0.1412,6339.1
"915",20191024,1,21,724.2,30.46,0.14135,6489.06
"916",20191024,1,22,754.1,30.98,0.14148,6690.73
"917",20191024,1,23,787.4,30.9,0.14161,6979.18
"918",20191024,1,24,818.6,31.04,0.14176,7193.81
"919",20191024,1,25,849.8,31.01,0.14189,7441.39
"920",20191024,1,26,880,31.75,0.14203,7651.7
"921",20191024,1,27,904.9,32.08,0.14217,7807.99
"922",20191024,1,28,934.7,32.58,0.14227,7971.5
"923",20191024,1,29,957.7,32.48,0.14236,8065.65
"924",20191024,1,30,978.7,32.52,0.14246,8184.79
"925",20191024,1,31,996.8,32.56,0.1425,8295.09
"926",20191024,1,32,1019.6,33.73,0.14254,8351.17
"927",20191024,1,33,1031.6,34.64,0.14256,8389.34
"928",20191024,1,34,1016.2,33.78,0.14259,8262.21
"929",20191024,1,35,968.2,34.61,0.14261,7879.66
"930",20191024,1,36,1071.9,33.93,0.14268,7745.39
"931",20191024,1,37,962.2,33.69,0.14271,6955.2
"932",20191024,1,38,1143.3,33.81,0.14279,8439.21
"933",20191024,1,39,1129.3,33.41,0.14285,8429.86
"934",20191024,1,40,1153.6,33.87,0.14287,8422.57
"935",20191024,1,41,1044.3,35.14,0.14289,7473.87
"936",20191024,1,42,250,33.17,0.1429,2110.51
"937",20191024,1,43,275.2,32.75,0.14291,2505.43
"938",20191024,1,44,551.3,34.69,0.14292,4574.68
"939",20191024,1,45,1036.6,34.76,0.14295,7130.93
"940",20191024,1,46,283,34.33,0.14298,2395.5
"941",20191024,1,47,266.2,33.85,0.14299,2189.78
"942",20191024,1,48,251.9,33.44,0.14299,2374.73
"943",20191024,1,49,779.8,35.24,0.14301,5948.09
"944",20191024,1,50,966.2,35.64,0.14304,7338.23
"945",20191024,1,51,897.1,35.76,0.14308,7062.24
"946",20191024,1,52,969.5,35.42,0.14314,7963.76
"947",20191024,1,53,944.7,36.31,0.14318,7670.59
"948",20191024,1,54,559.5,35.58,0.14322,4108.44
"949",20191024,1,55,143.3,34.53,0.14322,1223.5
"950",20191024,1,56,180.5,34.14,0.14323,1575.53
"951",20191024,1,57,416.6,34.74,0.14323,3719.24
"952",20191024,1,58,762.5,37.04,0.14325,6513.31
"953",20191024,1,59,543.2,36.21,0.14333,4543.57
"954",20191024,1,60,335.7,34.32,0.14339,2887.72
"955",20191024,1,61,242.3,34.39,0.1434,2062.88
"956",20191024,1,62,532.6,35.66,0.14342,4618.82
"957",20191024,1,63,513.7,35.69,0.14348,4279.46
"958",20191024,1,64,458.9,36.26,0.14348,3783.09
"959",20191024,1,65,402.2,35.65,0.14353,3279.66
"960",20191024,1,66,361.8,35.71,0.14355,2930.44
"961",20191024,1,67,315.3,35.7,0.14359,2512.69
"962",20191024,1,68,270.4,35.16,0.14363,2115.25
"963",20191024,1,69,222.5,35.32,0.14365,1669.53
"964",20191024,1,70,129,34.53,0.14367,1282.99
"965",20191024,1,71,66.3,33.28,0.14371,876.46
"966",20191024,1,72,83.2,32.67,0.14377,527.83
"967",20191024,1,73,59.9,32.3,0.14378,313.91
"968",20191024,1,74,33.3,31.61,0.14379,213.37
"969",20191024,1,75,19,31.15,0.14381,144.18
"970",20191024,1,76,9.5,29.97,0.14379,77.34
"971",20191024,1,77,1.3,29.28,0.14377,20.98
"972",20191025,2,1,0.3,24.26,0.14966,0
"973",20191025,2,2,5.7,24.34,0.14975,38.27
"974",20191025,2,3,14.8,24.64,0.14985,118
"975",20191025,2,4,24.8,25.56,0.14996,198.83
"976",20191025,2,5,37.3,26.25,0.15004,310.03
"977",20191025,2,6,56.9,26.82,0.15013,481.14
"978",20191025,2,7,83.4,27.22,0.15025,728.16
"979",20191025,2,8,117.9,27.51,0.15036,1041.78
"980",20191025,2,9,149,27.67,0.15048,1327.91
"981",20191025,2,10,192.1,28.17,0.15063,1736.86
"982",20191025,2,11,243,28.88,0.15081,2248.21
"983",20191025,2,12,282.3,29.39,0.15095,2638.63
"984",20191025,2,13,325.3,29.52,0.15111,3034.01
"985",20191025,2,14,368.2,29.95,0.15125,3434.69
"986",20191025,2,15,409.5,30.49,0.15137,3796.44
"987",20191025,2,16,453.1,30.96,0.1515,4165.27
"988",20191025,2,17,487.2,31.21,0.15163,4457.05
"989",20191025,2,18,525.2,31.48,0.15176,4774.52
"990",20191025,2,19,565.3,31.81,0.15192,5134.68
"991",20191025,2,20,620.1,32.46,0.15207,5589.12
"992",20191025,2,21,663.4,32.64,0.15228,5956.67
"993",20191025,2,22,703.4,32.56,0.15242,6281.05
"994",20191025,2,23,737,33.13,0.15257,6545.1
"995",20191025,2,24,769.2,33.39,0.15274,6781.41
"996",20191025,2,25,805.6,33.72,0.15288,7059.85
"997",20191025,2,26,832.5,33.9,0.15304,7225.16
"998",20191025,2,27,861.2,34.45,0.1532,7402.89
"999",20191025,2,28,891.3,34.81,0.15332,7622.54
"1000",20191025,2,29,918.4,35.04,0.15346,7788.84
"1001",20191025,2,30,947.5,34.94,0.15363,7976.24
"1002",20191025,2,31,969.5,35.37,0.15376,8092.84
"1003",20191025,2,32,983.8,35.88,0.15385,8157.96
"1004",20191025,2,33,1001.7,36.16,0.15393,8193.52
"1005",20191025,2,34,1017.8,35.6,0.15406,8384.58
"1006",20191025,2,35,1030.9,35.97,0.15414,8429.24
"1007",20191025,2,36,1045.5,35.65,0.15427,8434.42
"1008",20191025,2,37,1050.1,36.27,0.15439,8436.2
"1009",20191025,2,38,1060.2,36.98,0.15443,8436.46
"1010",20191025,2,39,1066.6,36.19,0.15452,8437.59
"1011",20191025,2,40,1070,35.89,0.15461,8435.68
"1012",20191025,2,41,1063.2,36.56,0.15471,8437.76
"1013",20191025,2,42,1064.8,36.77,0.15476,8433.04
"1014",20191025,2,43,1063,36.86,0.15487,8442.94
"1015",20191025,2,44,1058.4,36.44,0.15497,8337.81
"1016",20191025,2,45,1056.2,37.33,0.15507,8328.19
"1017",20191025,2,46,861.7,37.41,0.15514,7079.2
"1018",20191025,2,47,1032.4,37.52,0.15523,8277.54
"1019",20191025,2,48,1014.4,37.92,0.15532,8163.1
"1020",20191025,2,49,1008.8,37.86,0.15541,8201.08
"1021",20191025,2,50,573.6,37.25,0.15546,4642.76
"1022",20191025,2,51,645.7,37.16,0.15554,5825.04
"1023",20191025,2,52,662.9,37.12,0.1556,5709.51
"1024",20191025,2,53,636,37.66,0.15568,4965.06
"1025",20191025,2,54,724,37.31,0.15581,6106.08
"1026",20191025,2,55,889.2,38.67,0.15593,7339.17
"1027",20191025,2,56,777.2,38.64,0.15601,6491.93
"1028",20191025,2,57,781.4,38.17,0.15609,6471.31
"1029",20191025,2,58,754.3,38.89,0.15619,6268.46
"1030",20191025,2,59,709,38.78,0.15629,5933.35
"1031",20191025,2,60,672.6,38.93,0.15637,5463.54
"1032",20191025,2,61,660.4,37.96,0.15645,5473.7
"1033",20191025,2,62,588.3,37.3,0.1565,4857.91
"1034",20191025,2,63,540.1,37.8,0.15656,4478.61
"1035",20191025,2,64,412.6,37.7,0.15664,3451.78
"1036",20191025,2,65,443.5,37.84,0.15666,3661.42
"1037",20191025,2,66,221.1,37.03,0.15669,1812.16
"1038",20191025,2,67,246.9,37.04,0.15673,2006.91
"1039",20191025,2,68,207.5,37.67,0.15676,1667.89
"1040",20191025,2,69,96.4,35.61,0.15677,820.48
"1041",20191025,2,70,110.2,35.26,0.15683,945.28
"1042",20191025,2,71,94.9,35.01,0.1569,825.08
"1043",20191025,2,72,76.1,34.94,0.15689,573.51
"1044",20191025,2,73,71.9,34.61,0.15695,477.13
"1045",20191025,2,74,31.4,33.9,0.15698,258.34
"1046",20191025,2,75,22.9,33.4,0.15699,177.33
"1047",20191025,2,76,10.6,33.17,0.15702,96.29
"1048",20191025,2,77,4.3,32.84,0.15703,50.35
"1049",20191026,3,1,1.1,22.63,0.16086,0
"1050",20191026,3,2,6.5,23.44,0.1609,37.68
"1051",20191026,3,3,22.4,24.16,0.16089,187.45
"1052",20191026,3,4,42.3,25.76,0.16095,358.83
"1053",20191026,3,5,52,26.92,0.16098,443.85
"1054",20191026,3,6,73.1,27.81,0.16099,637.22
"1055",20191026,3,7,72.8,27.43,0.161,636.09
"1056",20191026,3,8,84.6,28.24,0.16102,734.43
"1057",20191026,3,9,101,28.01,0.16103,893.16
"1058",20191026,3,10,185.9,29.31,0.16107,1663.78
"1059",20191026,3,11,267,31.11,0.16111,2421.48
"1060",20191026,3,12,248,30.61,0.16115,2268.07
"1061",20191026,3,13,266.8,31.09,0.16118,2427.92
"1062",20191026,3,14,385.1,33.77,0.1612,3508.64
"1063",20191026,3,15,413.6,35.45,0.16122,3717.13
"1064",20191026,3,16,442.7,35.09,0.16125,3972.78
"1065",20191026,3,17,464.7,35.24,0.1613,4164.89
"1066",20191026,3,18,546,36.69,0.16132,4872.06
"1067",20191026,3,19,584.2,36.94,0.16135,5166.13
"1068",20191026,3,20,624.7,37.2,0.16138,5477.04
"1069",20191026,3,21,661.6,36.76,0.16142,5761.41
"1070",20191026,3,22,699.1,35.45,0.16148,6053.78
"1071",20191026,3,23,736,35.39,0.16156,6337.15
"1072",20191026,3,24,772.8,35.24,0.16164,6609.61
"1073",20191026,3,25,808,35.39,0.16174,6898.06
"1074",20191026,3,26,799.1,36.51,0.1618,6758.3
"1075",20191026,3,27,878.9,38.08,0.16182,7365.67
"1076",20191026,3,28,898.7,37.1,0.16188,7600.17
"1077",20191026,3,29,776.2,36.32,0.16195,6459.08
"1078",20191026,3,30,894.4,35.51,0.16202,7491.61
"1079",20191026,3,31,992.6,35.69,0.16214,8150.54
"1080",20191026,3,32,1014.7,35.82,0.16227,8048.26
"1081",20191026,3,33,1003.2,35.38,0.1624,8109.44
"1082",20191026,3,34,1073.5,35.47,0.16252,8414.68
"1083",20191026,3,35,1020.4,35.73,0.16261,7785.14
"1084",20191026,3,36,615.3,35.01,0.16266,4857.12
"1085",20191026,3,37,1128.7,37.01,0.16275,8402.19
"1086",20191026,3,38,813.5,36.12,0.16283,5977.95
"1087",20191026,3,39,924.5,36.13,0.16289,6473.56
"1088",20191026,3,40,860.5,36.78,0.16295,6043.88
"1089",20191026,3,41,834.5,35.43,0.16304,5844.94
"1090",20191026,3,42,507.7,34.76,0.16314,4178.36
"1091",20191026,3,43,886.7,35.95,0.16316,6610.99
"1092",20191026,3,44,1060.8,36.56,0.16321,7820.53
"1093",20191026,3,45,1086.7,36.49,0.1633,8414.13
"1094",20191026,3,46,1063.1,36.4,0.16336,8409.19
"1095",20191026,3,47,1057.7,36.89,0.16345,8387.79
"1096",20191026,3,48,1035.8,37.63,0.16349,8251.19
"1097",20191026,3,49,1027.6,37.75,0.16355,8184.8
"1098",20191026,3,50,1069.5,37.45,0.16361,8377.28
"1099",20191026,3,51,1029.9,38.36,0.16361,8165.52
"1100",20191026,3,52,306.3,36.81,0.16364,2549.86
"1101",20191026,3,53,767.3,36.97,0.16367,6161.54
"1102",20191026,3,54,767.8,38.65,0.1637,6209.41
"1103",20191026,3,55,152.6,34.51,0.16393,1243.34
"1104",20191026,3,56,106.4,29.97,0.16427,920.75
"1105",20191026,3,57,100.9,27.31,0.16457,780.45
"1106",20191026,3,58,101.5,23.06,0.16493,895.03
"1107",20191026,3,59,83.6,20.53,0.16516,715.22
"1108",20191026,3,60,82.5,20.65,0.16528,721.91
"1109",20191026,3,61,98.5,21.75,0.16535,872.16
"1110",20191026,3,62,124.2,22.86,0.16539,1106.92
"1111",20191026,3,63,150.4,23.21,0.16543,1339.14
"1112",20191026,3,64,186.9,24.49,0.16554,1649.7
"1113",20191026,3,65,203.5,25.34,0.16565,1729.84
"1114",20191026,3,66,347.7,26.35,0.16573,2941.35
"1115",20191026,3,67,338.5,28.58,0.16573,2777.18
"1116",20191026,3,68,163,27.62,0.16573,1352.25
"1117",20191026,3,69,176,27.59,0.16575,1408.8
"1118",20191026,3,70,262.1,29.07,0.16575,2007.6
"1119",20191026,3,71,214.9,28.24,0.16584,1572.66
"1120",20191026,3,72,142.4,26.51,0.1659,964.72
"1121",20191026,3,73,85.8,26.29,0.16593,693.18
"1122",20191026,3,74,58.3,26.13,0.1659,492.42
"1123",20191026,3,75,42.9,25.6,0.16587,352.98
"1124",20191026,3,76,35.7,25.01,0.16584,290.92
"1125",20191026,3,77,21.5,24.77,0.16581,170.84
"1126",20191026,3,78,7.2,23.89,0.16579,55.78
"1127",20191026,3,79,0.4,24.24,0.1658,6.68
"1128",20191027,4,1,0.6,22.5,0.16698,0
"1129",20191027,4,2,13,22.63,0.16695,90.28
"1130",20191027,4,3,23.6,22.97,0.16693,188.79
"1131",20191027,4,4,27.1,25.24,0.16691,220.98
"1132",20191027,4,5,39.7,28.89,0.16688,320.7
"1133",20191027,4,6,60.8,28.32,0.16685,517.41
"1134",20191027,4,7,72.2,28.91,0.16682,614.51
"1135",20191027,4,8,88.7,27.65,0.1668,798.93
"1136",20191027,4,9,115.5,27.01,0.16678,1035.37
"1137",20191027,4,10,129.1,26.75,0.16675,1144.23
"1138",20191027,4,11,86,26.58,0.16686,739.96
"1139",20191027,4,12,207.3,27.54,0.16701,1895.6
"1140",20191027,4,13,310.9,28.5,0.16719,2983.93
"1141",20191027,4,14,370.3,29.09,0.16738,3415.51
"1142",20191027,4,15,413.7,29.37,0.16758,3834.9
"1143",20191027,4,16,468.2,29.7,0.16775,4307.19
"1144",20191027,4,17,500.5,30.11,0.16792,4585.93
"1145",20191027,4,18,544.3,30.4,0.16807,4941.33
"1146",20191027,4,19,564.1,30.3,0.16822,5099.46
"1147",20191027,4,20,625.1,30.58,0.16841,5624.39
"1148",20191027,4,21,657.1,30.91,0.16857,5893.05
"1149",20191027,4,22,694.1,31.3,0.16872,6165.73
"1150",20191027,4,23,732.3,31.66,0.16887,6478.82
"1151",20191027,4,24,767.9,31.73,0.16899,6763.4
"1152",20191027,4,25,803,31.67,0.16917,6875.51
"1153",20191027,4,26,810.9,31.58,0.16937,6918.65
"1154",20191027,4,27,771.4,32.08,0.16953,6231.87
"1155",20191027,4,28,815.3,32.33,0.16968,6513.36
"1156",20191027,4,29,908.7,32.4,0.16981,7922.26
"1157",20191027,4,30,942.7,32.54,0.16996,8099.5
"1158",20191027,4,31,960.4,33.34,0.17007,8142.91
"1159",20191027,4,32,977.9,33.24,0.17019,8238.21
"1160",20191027,4,33,997,33.01,0.17034,8335.68
"1161",20191027,4,34,1026,33.44,0.17046,8204.18
"1162",20191027,4,35,964.1,33.43,0.17055,7867.12
"1163",20191027,4,36,1043.7,33.65,0.17067,8409.34
"1164",20191027,4,37,1067.5,33.77,0.1708,8414.69
"1165",20191027,4,38,1076.8,34.24,0.1709,8413.84
"1166",20191027,4,39,1085.8,34.04,0.17102,8421.49
"1167",20191027,4,40,1058.6,33.34,0.17116,7932.93
"1168",20191027,4,41,1112.9,33.42,0.1713,8411.84
"1169",20191027,4,42,874.8,33.98,0.17142,6439.29
