"","DIA","TIME","IRR","TEMP","MA","PDC"
"1",1,1,7.5,22,0.54763,60.17
"2",1,2,13.1,22.25,0.54771,108.26
"3",1,3,16.7,22.59,0.54776,140.96
"4",1,4,20.2,22.64,0.54786,169.93
"5",1,5,24.2,22.78,0.54794,215.28
"6",1,6,28.3,23.07,0.54804,256.8
"7",1,7,31.4,23.31,0.54811,283.78
"8",1,8,77.1,24.84,0.5482,824.63
"9",1,9,122.1,27.76,0.5483,1295.41
"10",1,10,160.9,28.36,0.54839,1694.45
"11",1,11,222.4,30.38,0.54848,2285.76
"12",1,12,265.8,30.28,0.54856,2698.17
"13",1,13,307.8,30.31,0.54867,3097.99
"14",1,14,351.3,30.48,0.54883,3484.43
"15",1,15,392.4,31.15,0.54899,3867.91
"16",1,16,435,31,0.54919,4259.59
"17",1,17,476,31.69,0.54937,4605.14
"18",1,18,517.5,31.75,0.54952,4937.13
"19",1,19,558.3,32.46,0.54965,5243.92
"20",1,20,598.4,32.8,0.5498,5583.46
"21",1,21,622.5,33.65,0.54989,5751.33
"22",1,22,597.7,33.67,0.55001,5507.56
"23",1,23,725,33.99,0.55011,6546.73
"24",1,24,745.2,34.94,0.5502,6616.45
"25",1,25,579.4,34.87,0.55032,5118.58
"26",1,26,558,32.22,0.55043,4848.31
"27",1,27,690.8,34.49,0.5506,5920.5
"28",1,28,666.7,33.3,0.55073,5711.17
"29",1,29,858.8,33.45,0.55086,7200.15
"30",1,30,568,32.84,0.55097,4852.82
"31",1,31,910.5,34.32,0.55106,7657.11
"32",1,32,956.6,34.99,0.55118,8101.06
"33",1,33,965.6,34.02,0.5513,7806.38
"34",1,34,982.6,34.66,0.55141,8179.76
"35",1,35,882.4,35.06,0.55153,7091.66
"36",1,36,1040.8,33.71,0.55168,8365.37
"37",1,37,1066.1,35.67,0.55179,8430.16
"38",1,38,1059.2,34.47,0.55188,8325.1
"39",1,39,811.6,33.28,0.55203,6093.61
"40",1,40,1065.1,33.09,0.55216,7862.93
"41",1,41,875.3,33.74,0.55226,6452.85
"42",1,42,342.5,32.42,0.55236,2788.6
"43",1,43,793.5,33.42,0.55246,5821.44
"44",1,44,1076.5,33.43,0.55259,8420.4
"45",1,45,1048,34.99,0.55269,8426.35
"46",1,46,996.7,35.26,0.55282,7347.13
"47",1,47,1073.1,35.35,0.55293,8422.97
"48",1,48,1032.8,35.65,0.55304,8392.41
"49",1,49,1020.2,35.87,0.55309,8326.63
"50",1,50,995.6,35.59,0.55317,8176.87
"51",1,51,972.7,36.07,0.55327,8023.89
"52",1,52,949.1,35.91,0.55335,7842.61
"53",1,53,769.6,35.8,0.55339,6571.56
"54",1,54,881.4,36.27,0.5535,7354.72
"55",1,55,877.6,36.98,0.55358,7342.35
"56",1,56,859.9,36.68,0.55365,7219.83
"57",1,57,817.5,36.61,0.55374,6923.71
"58",1,58,808.9,37.82,0.5538,6862.99
"59",1,59,775.6,38.04,0.55389,6574.38
"60",1,60,523.7,36.68,0.55396,4482.73
"61",1,61,659.2,37.3,0.55401,5728.87
"62",1,62,657.7,37.88,0.5541,5644.11
"63",1,63,658.1,37.88,0.55421,5631.51
"64",1,64,587.9,36.78,0.55429,4987.8
"65",1,65,503.9,38.17,0.55436,3963.42
"66",1,66,252.7,35.5,0.55444,1987.49
"67",1,67,234.1,33.11,0.5545,1778.78
"68",1,68,144.5,33.62,0.55458,1157.48
"69",1,69,311.6,33.99,0.55464,1841.62
"70",1,70,126.9,33.71,0.55474,994.14
"71",1,71,76.9,30.79,0.55492,675.19
"72",1,72,74,29.63,0.555,629.75
"73",1,73,60.2,29.6,0.55512,521.76
"74",1,74,57.6,29.44,0.55515,502.58
"75",1,75,58.8,29.79,0.55525,464.58
"76",1,76,40.9,31.83,0.55534,311.85
"77",1,77,28.9,31.02,0.55545,244.98
"78",1,78,10.2,29.43,0.55551,89.91
"79",1,79,4.3,28.34,0.55557,40.35
"80",2,1,0.1,23.56,0.5611,0
"81",2,2,4.8,23.69,0.56122,30.54
"82",2,3,12.4,23.98,0.56131,95.93
"83",2,4,16.1,24.27,0.56132,129.43
"84",2,5,30.5,24.37,0.56132,263.33
"85",2,6,50.2,24.7,0.56138,446.51
"86",2,7,77.5,25.56,0.56136,709.57
"87",2,8,106.1,28.18,0.56137,1033.35
"88",2,9,137.2,28.89,0.56141,1355.79
"89",2,10,129,30.81,0.56146,1266.9
"90",2,11,156.7,31.91,0.56149,1560.81
"91",2,12,197.2,32.6,0.56151,1958.48
"92",2,13,250.7,32.9,0.56159,2471.38
"93",2,14,261,33.25,0.56165,2548.9
"94",2,15,350.2,33.1,0.56173,3426.95
"95",2,16,403.8,35.33,0.56178,3881.91
"96",2,17,507.2,34.86,0.56188,4762.32
"97",2,18,417.3,33.34,0.56202,3924.02
"98",2,19,596.1,34.34,0.5622,5535.6
"99",2,20,363.8,33.44,0.5623,3283.73
"100",2,21,340.1,31.02,0.56243,3098.54
"101",2,22,507,31.88,0.56249,4679.65
"102",2,23,477.7,32.96,0.56252,4307.43
"103",2,24,515.2,33.05,0.56256,4695.18
"104",2,25,493.7,32.25,0.56263,4462.96
"105",2,26,623,33.59,0.56269,5655.56
"106",2,27,540.6,33.74,0.56272,4902.06
"107",2,28,873.7,34.67,0.56279,7630.49
"108",2,29,816.7,35.74,0.56283,7058.83
"109",2,30,899.4,36.01,0.56285,7655.53
"110",2,31,821.2,34.79,0.56288,6968.84
"111",2,32,954.2,35.05,0.56296,8026.81
"112",2,33,930.3,35.71,0.56302,7791.98
"113",2,34,997.5,35.91,0.56307,8284.36
"114",2,35,1006.9,35.27,0.56312,8327.22
"115",2,36,1008.2,35.84,0.56315,8301.13
"116",2,37,1013.2,35.45,0.56319,8377.15
"117",2,38,1049.4,35.75,0.56322,8419.83
"118",2,39,725.4,34.88,0.56326,5667.64
"119",2,40,1054.8,34.84,0.56334,8404.28
"120",2,41,847.8,34,0.5634,6469.73
"121",2,42,796.8,34.3,0.56347,5876.33
"122",2,43,1013.7,34.4,0.56351,7892.61
"123",2,44,1048.5,35.39,0.56354,8419.02
"124",2,45,1053.8,35.79,0.56358,8422.14
"125",2,46,1069.1,35.73,0.56364,8423.51
"126",2,47,1086.2,36.01,0.56372,8420.43
"127",2,48,1074.2,36.57,0.56378,8424.93
"128",2,49,1060.7,36.71,0.56382,8437.01
"129",2,50,971.9,37.09,0.56385,7701.1
"130",2,51,955.4,36.48,0.56393,7664.19
"131",2,52,1050.5,37.31,0.56398,8427.31
"132",2,53,1014,36.73,0.56407,8289.56
"133",2,54,454.9,35.36,0.56412,3953.81
"134",2,55,890.15,36.97,0.56418,7609.45
"135",2,56,841.55,36.69,0.56422,7100.59
"136",2,57,806.4,37.09,0.56425,6825.41
"137",2,58,755.1,37.21,0.56427,6396.43
"138",2,59,766.6,37.67,0.56431,6485.72
"139",2,60,766.5,39.12,0.56436,6502.77
"140",2,61,779,38.14,0.56441,6638.77
"141",2,62,807.7,39.45,0.56445,6730.53
"142",2,63,760.3,38.61,0.56451,6376.35
